ensemble,attempt_index,master_seed,replicate,trajectory_seed,trajectory_available,baseline_eligible,endpoint,diversity_id,relative_decline_fraction,warning_time,trait_loss_time,ramp_generations,hold_generations,horizon
inherited_202611,0,20261110,0,1468821095,True,True,H_alpha_0.05,H_alpha,0.05,12,,30,90,120
inherited_202611,0,20261110,0,1468821095,True,True,H_alpha_0.10,H_alpha,0.1,12,,30,90,120
inherited_202611,0,20261110,0,1468821095,True,True,H_alpha_0.20,H_alpha,0.2,18,,30,90,120
inherited_202611,0,20261110,0,1468821095,True,True,H_gamma_0.05,H_gamma,0.05,25,,30,90,120
inherited_202611,0,20261110,0,1468821095,True,True,H_gamma_0.10,H_gamma,0.1,28,,30,90,120
inherited_202611,0,20261110,0,1468821095,True,True,H_gamma_0.20,H_gamma,0.2,40,,30,90,120
inherited_202611,1,20261110,1,1569821398,True,True,H_alpha_0.05,H_alpha,0.05,4,60,30,90,120
inherited_202611,1,20261110,1,1569821398,True,True,H_alpha_0.10,H_alpha,0.1,4,60,30,90,120
inherited_202611,1,20261110,1,1569821398,True,True,H_alpha_0.20,H_alpha,0.2,4,60,30,90,120
inherited_202611,1,20261110,1,1569821398,True,True,H_gamma_0.05,H_gamma,0.05,4,60,30,90,120
inherited_202611,1,20261110,1,1569821398,True,True,H_gamma_0.10,H_gamma,0.1,4,60,30,90,120
inherited_202611,1,20261110,1,1569821398,True,True,H_gamma_0.20,H_gamma,0.2,4,60,30,90,120
inherited_202611,2,20261110,2,1670821701,True,True,H_alpha_0.05,H_alpha,0.05,3,,30,90,120
inherited_202611,2,20261110,2,1670821701,True,True,H_alpha_0.10,H_alpha,0.1,4,,30,90,120
inherited_202611,2,20261110,2,1670821701,True,True,H_alpha_0.20,H_alpha,0.2,4,,30,90,120
inherited_202611,2,20261110,2,1670821701,True,True,H_gamma_0.05,H_gamma,0.05,15,,30,90,120
inherited_202611,2,20261110,2,1670821701,True,True,H_gamma_0.10,H_gamma,0.1,15,,30,90,120
inherited_202611,2,20261110,2,1670821701,True,True,H_gamma_0.20,H_gamma,0.2,28,,30,90,120
inherited_202611,3,20261110,3,1771822004,True,True,H_alpha_0.05,H_alpha,0.05,2,109,30,90,120
inherited_202611,3,20261110,3,1771822004,True,True,H_alpha_0.10,H_alpha,0.1,4,109,30,90,120
inherited_202611,3,20261110,3,1771822004,True,True,H_alpha_0.20,H_alpha,0.2,5,109,30,90,120
inherited_202611,3,20261110,3,1771822004,True,True,H_gamma_0.05,H_gamma,0.05,5,109,30,90,120
inherited_202611,3,20261110,3,1771822004,True,True,H_gamma_0.10,H_gamma,0.1,8,109,30,90,120
inherited_202611,3,20261110,3,1771822004,True,True,H_gamma_0.20,H_gamma,0.2,21,109,30,90,120
inherited_202611,4,20261110,4,,False,False,H_alpha_0.05,H_alpha,0.05,,,30,90,120
inherited_202611,4,20261110,4,,False,False,H_alpha_0.10,H_alpha,0.1,,,30,90,120
inherited_202611,4,20261110,4,,False,False,H_alpha_0.20,H_alpha,0.2,,,30,90,120
inherited_202611,4,20261110,4,,False,False,H_gamma_0.05,H_gamma,0.05,,,30,90,120
inherited_202611,4,20261110,4,,False,False,H_gamma_0.10,H_gamma,0.1,,,30,90,120
inherited_202611,4,20261110,4,,False,False,H_gamma_0.20,H_gamma,0.2,,,30,90,120
inherited_202611,5,20261110,5,1973822610,True,True,H_alpha_0.05,H_alpha,0.05,4,73,30,90,120
inherited_202611,5,20261110,5,1973822610,True,True,H_alpha_0.10,H_alpha,0.1,15,73,30,90,120
inherited_202611,5,20261110,5,1973822610,True,True,H_alpha_0.20,H_alpha,0.2,16,73,30,90,120
inherited_202611,5,20261110,5,1973822610,True,True,H_gamma_0.05,H_gamma,0.05,16,73,30,90,120
