ensemble,diversity_id,landmark,risk_set,future_cases,dynamic_controls,excluded_losses_at_or_before_landmark,auc,auc_ci95_lower,auc_ci95_upper,bootstrap_replicates,bootstrap_seed
inherited_202611,H_alpha,30,81,33,48,2,0.5353535353535354,0.4065656565656566,0.6622474747474747,10000,20260826
inherited_202611,H_alpha,60,65,17,48,18,0.4178921568627451,0.2659313725490196,0.5759803921568627,10000,20260827
inherited_202611,H_alpha,90,58,10,48,25,0.6916666666666667,0.5228645833333334,0.8395833333333333,10000,20260828
inherited_202611,H_gamma,30,81,33,48,2,0.5325126262626263,0.4065656565656566,0.6603535353535354,10000,20260836
inherited_202611,H_gamma,60,65,17,48,18,0.43504901960784315,0.2769607843137255,0.5980392156862745,10000,20260837
inherited_202611,H_gamma,90,58,10,48,25,0.59375,0.38958333333333334,0.7916666666666666,10000,20260838
fresh_202911,H_alpha,30,76,27,49,6,0.5222978080120937,0.3847316704459562,0.6606198034769464,10000,20260926
fresh_202911,H_alpha,60,63,14,49,19,0.6530612244897959,0.49416909620991256,0.7973760932944607,10000,20260927
fresh_202911,H_alpha,90,52,3,49,30,0.5102040816326531,0.10204081632653061,0.8979591836734694,10000,20260928
fresh_202911,H_gamma,30,76,27,49,6,0.5563114134542706,0.42101284958427815,0.690098261526833,10000,20260936
fresh_202911,H_gamma,60,63,14,49,19,0.6865889212827988,0.5043731778425656,0.8483965014577259,10000,20260937
fresh_202911,H_gamma,90,52,3,49,30,0.4217687074829932,0.08163265306122448,0.8979591836734694,10000,20260938
