domain,source_domain_label,attempt_index,master_seed,replicate,trajectory_seed,status,kappa_mu,p_star,area_reference,kappa,ramp_generations,hold_generations,horizon,normalised_barrier_increase,source_artifact_id,source_artifact_digest,endpoint,diversity_id,relative_decline_fraction,baseline_eligible,warning_time,trait_loss_time,lead_time_trait_minus_warning,category,valid_pair
recalibrated_symmetric_domain,symmetric_bridge,0,20270710,0,1540354455,completed,0.2,0.5,0.8,6.0,30,210,240,0.2,8343958766,sha256:c1b42fc9e6ac912a44667ef4cee02090fab37d50fc3a9928c46ae728c0610f58,H_alpha_0.05,H_alpha,0.05,True,4,225,221,lead,True
recalibrated_symmetric_domain,symmetric_bridge,0,20270710,0,1540354455,completed,0.2,0.5,0.8,6.0,30,210,240,0.2,8343958766,sha256:c1b42fc9e6ac912a44667ef4cee02090fab37d50fc3a9928c46ae728c0610f58,H_alpha_0.10,H_alpha,0.1,True,4,225,221,lead,True
recalibrated_symmetric_domain,symmetric_bridge,0,20270710,0,1540354455,completed,0.2,0.5,0.8,6.0,30,210,240,0.2,8343958766,sha256:c1b42fc9e6ac912a44667ef4cee02090fab37d50fc3a9928c46ae728c0610f58,H_alpha_0.20,H_alpha,0.2,True,19,225,206,lead,True
recalibrated_symmetric_domain,symmetric_bridge,0,20270710,0,1540354455,completed,0.2,0.5,0.8,6.0,30,210,240,0.2,8343958766,sha256:c1b42fc9e6ac912a44667ef4cee02090fab37d50fc3a9928c46ae728c0610f58,H_gamma_0.05,H_gamma,0.05,True,11,225,214,lead,True
recalibrated_symmetric_domain,symmetric_bridge,0,20270710,0,1540354455,completed,0.2,0.5,0.8,6.0,30,210,240,0.2,8343958766,sha256:c1b42fc9e6ac912a44667ef4cee02090fab37d50fc3a9928c46ae728c0610f58,H_gamma_0.10,H_gamma,0.1,True,11,225,214,lead,True
recalibrated_symmetric_domain,symmetric_bridge,0,20270710,0,1540354455,completed,0.2,0.5,0.8,6.0,30,210,240,0.2,8343958766,sha256:c1b42fc9e6ac912a44667ef4cee02090fab37d50fc3a9928c46ae728c0610f58,H_gamma_0.20,H_gamma,0.2,True,39,225,186,lead,True
recalibrated_symmetric_domain,symmetric_bridge,1,20270710,1,1540354556,completed,0.2,0.5,0.8,6.0,30,210,240,0.2,8343958766,sha256:c1b42fc9e6ac912a44667ef4cee02090fab37d50fc3a9928c46ae728c0610f58,H_alpha_0.05,H_alpha,0.05,True,3,106,103,lead,True
recalibrated_symmetric_domain,symmetric_bridge,1,20270710,1,1540354556,completed,0.2,0.5,0.8,6.0,30,210,240,0.2,8343958766,sha256:c1b42fc9e6ac912a44667ef4cee02090fab37d50fc3a9928c46ae728c0610f58,H_alpha_0.10,H_alpha,0.1,True,5,106,101,lead,True
recalibrated_symmetric_domain,symmetric_bridge,1,20270710,1,1540354556,completed,0.2,0.5,0.8,6.0,30,210,240,0.2,8343958766,sha256:c1b42fc9e6ac912a44667ef4cee02090fab37d50fc3a9928c46ae728c0610f58,H_alpha_0.20,H_alpha,0.2,True,11,106,95,lead,True
recalibrated_symmetric_domain,symmetric_bridge,1,20270710,1,1540354556,completed,0.2,0.5,0.8,6.0,30,210,240,0.2,8343958766,sha256:c1b42fc9e6ac912a44667ef4cee02090fab37d50fc3a9928c46ae728c0610f58,H_gamma_0.05,H_gamma,0.05,True,8,106,98,lead,True
