ensemble,endpoint,baseline_eligible,events,right_censored_non_events,lead_sensitivity,lead_sensitivity_ci_lower,lead_sensitivity_ci_upper,non_event_false_positive_rate,non_event_fpr_ci_lower,non_event_fpr_ci_upper,full_horizon_ppv,full_horizon_npv,full_horizon_specificity,full_horizon_binary_auc,ramp_end_risk_set,ramp_end_future_cases,ramp_end_sensitivity,ramp_end_specificity,ramp_end_ppv,ramp_end_npv,ramp_end_binary_auc,ramp_end_risk_difference,ramp_end_risk_difference_ci_lower,ramp_end_risk_difference_ci_upper
inherited_202611,H_alpha_0.05,83,35,48,1.0,0.9010990076755961,1.0,1.0,0.9258998703338824,0.9999999999999999,0.42168674698795183,,0.0,0.5,81,33,1.0,0.0,0.4074074074074074,,0.5,,,
inherited_202611,H_alpha_0.10,83,35,48,1.0,0.9010990076755961,1.0,1.0,0.9258998703338824,0.9999999999999999,0.42168674698795183,,0.0,0.5,81,33,1.0,0.0,0.4074074074074074,,0.5,,,
inherited_202611,H_alpha_0.20,83,35,48,1.0,0.9010990076755961,1.0,1.0,0.9258998703338824,0.9999999999999999,0.42168674698795183,,0.0,0.5,81,33,1.0,0.041666666666666664,0.4177215189873418,1.0,0.5208333333333334,0.4177215189873418,-0.34235349109212876,0.5278074622886679
inherited_202611,H_gamma_0.05,83,35,48,1.0,0.9010990076755961,1.0,1.0,0.9258998703338824,0.9999999999999999,0.42168674698795183,,0.0,0.5,81,33,1.0,0.020833333333333332,0.4125,1.0,0.5104166666666666,0.4125,-0.4823921094951437,0.5219595965410985
inherited_202611,H_gamma_0.10,83,35,48,1.0,0.9010990076755961,1.0,1.0,0.9258998703338824,0.9999999999999999,0.42168674698795183,,0.0,0.5,81,33,0.9696969696969697,0.08333333333333333,0.42105263157894735,0.8,0.5265151515151515,0.22105263157894733,-0.3079791790570869,0.49699184519746714
inherited_202611,H_gamma_0.20,83,35,48,1.0,0.9010990076755961,1.0,1.0,0.9258998703338824,0.9999999999999999,0.42168674698795183,,0.0,0.5,81,33,0.9090909090909091,0.16666666666666666,0.42857142857142855,0.7272727272727273,0.5378787878787878,0.15584415584415584,-0.2462922123761604,0.4477610415012489
fresh_202911,H_alpha_0.05,82,33,49,1.0,0.895730002457548,0.9999999999999999,1.0,0.9273021807795038,1.0,0.4024390243902439,,0.0,0.5,76,27,1.0,0.0,0.35526315789473684,,0.5,,,
fresh_202911,H_alpha_0.10,82,33,49,1.0,0.895730002457548,0.9999999999999999,1.0,0.9273021807795038,1.0,0.4024390243902439,,0.0,0.5,76,27,1.0,0.0,0.35526315789473684,,0.5,,,
fresh_202911,H_alpha_0.20,82,33,49,1.0,0.895730002457548,0.9999999999999999,1.0,0.9273021807795038,1.0,0.4024390243902439,,0.0,0.5,76,27,1.0,0.0,0.35526315789473684,,0.5,,,
fresh_202911,H_gamma_0.05,82,33,49,1.0,0.895730002457548,0.9999999999999999,1.0,0.9273021807795038,1.0,0.4024390243902439,,0.0,0.5,76,27,1.0,0.0,0.35526315789473684,,0.5,,,
fresh_202911,H_gamma_0.10,82,33,49,1.0,0.895730002457548,0.9999999999999999,1.0,0.9273021807795038,1.0,0.4024390243902439,,0.0,0.5,76,27,1.0,0.0,0.35526315789473684,,0.5,,,
fresh_202911,H_gamma_0.20,82,33,49,1.0,0.895730002457548,0.9999999999999999,1.0,0.9273021807795038,1.0,0.4024390243902439,,0.0,0.5,76,27,1.0,0.02040816326530612,0.36,1.0,0.5102040816326531,0.36,-0.5328013965365991,0.47299338680902214
combined_descriptive,H_alpha_0.05,165,68,97,1.0,0.9465286634799296,1.0,1.0,0.9619059574740523,1.0,0.4121212121212121,,0.0,0.5,157,60,1.0,0.0,0.3821656050955414,,0.5,,,
combined_descriptive,H_alpha_0.10,165,68,97,1.0,0.9465286634799296,1.0,1.0,0.9619059574740523,1.0,0.4121212121212121,,0.0,0.5,157,60,1.0,0.0,0.3821656050955414,,0.5,,,
combined_descriptive,H_alpha_0.20,165,68,97,1.0,0.9465286634799296,1.0,1.0,0.9619059574740523,1.0,0.4121212121212121,,0.0,0.5,157,60,1.0,0.020618556701030927,0.3870967741935484,1.0,0.5103092783505154,0.3870967741935484,-0.3435898419267983,0.465624573617342
combined_descriptive,H_gamma_0.05,165,68,97,1.0,0.9465286634799296,1.0,1.0,0.9619059574740523,1.0,0.4121212121212121,,0.0,0.5,157,60,1.0,0.010309278350515464,0.38461538461538464,1.0,0.5051546391752577,0.38461538461538464,-0.4815338379129477,0.4628599826218962
combined_descriptive,H_gamma_0.10,165,68,97,1.0,0.9465286634799296,1.0,1.0,0.9619059574740523,1.0,0.4121212121212121,,0.0,0.5,157,60,0.9833333333333333,0.041237113402061855,0.3881578947368421,0.8,0.5122852233676976,0.18815789473684208,-0.310112406448224,0.431252485275676
combined_descriptive,H_gamma_0.20,165,68,97,1.0,0.9465286634799296,1.0,1.0,0.9619059574740523,1.0,0.4121212121212121,,0.0,0.5,157,60,0.95,0.09278350515463918,0.3931034482758621,0.75,0.5213917525773195,0.14310344827586208,-0.21496025082693637,0.3854379440615488
