endpoint,absolute_generations_difference_directional_minus_symmetric,absolute_generations_ci_lower,absolute_generations_ci_upper,absolute_generations_ci_includes_zero,horizon_fraction_difference_directional_minus_symmetric,horizon_fraction_ci_lower,horizon_fraction_ci_upper,horizon_fraction_ci_includes_zero,hold_fraction_difference_directional_minus_symmetric,hold_fraction_ci_lower,hold_fraction_ci_upper,hold_fraction_ci_includes_zero
H_alpha_0.05,-32.0,-97.0,-3.5,False,0.18750000000000006,-0.09583333333333333,0.32499999999999996,True,0.33650793650793653,0.007936507936507908,0.4984126984126985,False
H_alpha_0.10,-32.0,-97.0,-4.5,False,0.18333333333333335,-0.10000000000000009,0.31250000000000006,True,0.3301587301587302,0.0015873015873015817,0.48730158730158735,False
H_alpha_0.20,-31.5,-89.0,4.0,True,0.18541666666666667,-0.06666666666666665,0.3458333333333334,True,0.3325396825396826,0.038055555555555565,0.5198412698412698,False
H_gamma_0.05,-36.5,-98.0,0.0,True,0.15000000000000008,-0.1166666666666667,0.35000000000000003,True,0.2865079365079366,-0.025396825396825307,0.5412698412698413,True
H_gamma_0.10,-33.5,-91.0,1.0,True,0.1625000000000001,-0.09166666666666667,0.3541666666666667,True,0.30079365079365084,0.0031746031746031633,0.5452579365079347,False
H_gamma_0.20,-28.5,-82.0,11.512499999998909,True,0.20416666666666672,-0.05833333333333335,0.4083333333333333,True,0.3563492063492064,0.03650793650793649,0.6071428571428571,False
