kappa_mu,p_star,attempted,source_supported,source_supported_rate,source_prepared,source_prepared_rate,projection_supported,projection_supported_rate,projection_failed,projection_not_run
0.05,0.1,225,101,0.4488888888888889,101,0.4488888888888889,101,0.4488888888888889,0,124
0.05,0.25,225,118,0.5244444444444445,118,0.5244444444444445,118,0.5244444444444445,0,107
0.05,0.5,225,123,0.5466666666666666,123,0.5466666666666666,123,0.5466666666666666,0,102
0.05,0.75,225,147,0.6533333333333333,147,0.6533333333333333,147,0.6533333333333333,0,78
0.05,0.9,225,174,0.7733333333333333,174,0.7733333333333333,174,0.7733333333333333,0,51
0.2,0.1,225,121,0.5377777777777778,121,0.5377777777777778,121,0.5377777777777778,0,104
0.2,0.25,225,132,0.5866666666666667,132,0.5866666666666667,132,0.5866666666666667,0,93
0.2,0.5,225,163,0.7244444444444444,163,0.7244444444444444,163,0.7244444444444444,0,62
0.2,0.75,225,175,0.7777777777777778,175,0.7777777777777778,175,0.7777777777777778,0,50
0.2,0.9,225,172,0.7644444444444445,172,0.7644444444444445,172,0.7644444444444445,0,53
0.35,0.1,225,120,0.5333333333333333,120,0.5333333333333333,120,0.5333333333333333,0,105
0.35,0.25,225,158,0.7022222222222222,158,0.7022222222222222,158,0.7022222222222222,0,67
0.35,0.5,225,178,0.7911111111111111,178,0.7911111111111111,178,0.7911111111111111,0,47
0.35,0.75,225,192,0.8533333333333334,192,0.8533333333333334,192,0.8533333333333334,0,33
0.35,0.9,225,195,0.8666666666666667,195,0.8666666666666667,195,0.8666666666666667,0,30
